Frame,Time (Seconds),X.3,Y.3,Z.3
245,2.041667,0.582021,0.80616,0.698804
246,2.05,0.582094,0.806233,0.698894
247,2.058333,0.582164,0.806221,0.698926
248,2.066667,0.582408,0.806612,0.698925
249,2.075,0.58243,0.806259,0.698934
250,2.083333,0.582562,0.806608,0.698945
251,2.091667,0.582609,0.80666,0.69893
252,2.1,0.582732,0.806634,0.698937
253,2.108333,0.58285,0.806555,0.698983
254,2.116667,0.582879,0.806566,0.699
255,2.125,0.583849,0.806348,0.699115
256,2.133333,0.583939,0.806326,0.699131
257,2.141667,0.584031,0.806305,0.699133
258,2.15,0.584126,0.80628,0.699141
259,2.158333,0.583313,0.806465,0.699046
260,2.166667,0.583354,0.806462,0.699046
261,2.175,0.583442,0.806429,0.699042
262,2.183333,0.583562,0.806406,0.699028
263,2.191667,0.583616,0.806385,0.699006
264,2.2,0.583673,0.80637,0.698995
265,2.208333,0.583774,0.806327,0.698984
266,2.216667,0.583875,0.806293,0.698993
267,2.225,0.583885,0.806295,0.698973
268,2.233333,0.583928,0.806291,0.698965
269,2.241667,0.584002,0.806258,0.698953
270,2.25,0.584039,0.806288,0.698918
271,2.258333,0.584101,0.806271,0.698907
272,2.266667,0.584073,0.806298,0.698896
273,2.275,0.584195,0.806248,0.698867
274,2.283333,0.584233,0.806243,0.698846
275,2.291667,0.584284,0.806223,0.698835
276,2.3,0.584326,0.806214,0.698814
277,2.308333,0.584406,0.806141,0.698808
278,2.316667,0.584466,0.806127,0.698782
279,2.325,0.584559,0.806078,0.69873
280,2.333333,0.584215,0.80633,0.698636
281,2.341667,0.585721,0.805738,0.69878
282,2.35,0.584746,0.805988,0.698645
283,2.358333,0.584845,0.805942,0.69862
284,2.366667,0.584929,0.805908,0.698593
285,2.375,0.584955,0.805952,0.698532
286,2.383333,0.584814,0.806113,0.698444
287,2.391667,0.5851,0.805895,0.698465
288,2.4,0.585176,0.8058,0.698424
289,2.408333,0.585287,0.805745,0.698383
290,2.416667,0.585299,0.805793,0.698309
291,2.425,0.585346,0.805737,0.698294
292,2.433333,0.585414,0.805704,0.698255
293,2.441667,0.585514,0.805665,0.698207
294,2.45,0.585527,0.80567,0.698176
295,2.458333,0.585592,0.805653,0.698125
296,2.466667,0.586571,0.80542,0.698174
297,2.475,0.585705,0.805621,0.698031
298,2.483333,0.585789,0.805581,0.697973
299,2.491667,0.586746,0.805359,0.698039
300,2.5,0.586829,0.80532,0.697989
301,2.508333,0.585872,0.805553,0.697842
302,2.516667,0.585939,0.805573,0.697749
303,2.525,0.587062,0.80521,0.697808
304,2.533333,0.587098,0.805249,0.697736
305,2.541667,0.587188,0.805165,0.69771
306,2.55,0.587221,0.805162,0.697655
307,2.558333,0.587255,0.805149,0.697599
308,2.566667,0.587335,0.805119,0.697548
309,2.575,0.587094,0.805171,0.697366
310,2.583333,0.587122,0.805358,0.697355
311,2.591667,0.587473,0.805106,0.697364
312,2.6,0.587194,0.805323,0.697238
313,2.608333,0.587522,0.805083,0.697242
314,2.616667,0.587585,0.805061,0.697161
315,2.625,0.587633,0.805038,0.697117
316,2.633333,0.587707,0.805007,0.697065
317,2.641667,0.587724,0.805017,0.69701
318,2.65,0.58779,0.805,0.696959
319,2.658333,0.587801,0.804996,0.696906
320,2.666667,0.587855,0.804987,0.696856
321,2.675,0.587914,0.804963,0.696823
322,2.683333,0.587937,0.804979,0.696764
323,2.691667,0.587995,0.804917,0.696739
324,2.7,0.588049,0.804908,0.696707
325,2.708333,0.588064,0.804915,0.696659
326,2.716667,0.587846,0.805118,0.696564
327,2.725,0.588169,0.804887,0.696577
328,2.733333,0.588177,0.804886,0.696531
329,2.741667,0.58827,0.80485,0.6965
330,2.75,0.588309,0.804834,0.69646
331,2.758333,0.58831,0.804851,0.696417
332,2.766667,0.588368,0.80484,0.696378
